individual	pedigree	fullSampleName	family
CNJ02_1_97	CQxMQ	CNJ02_1_97:250382187	CNJ02
CNJ02_1_98	CQxMQ	CNJ02_1_98:250382188	CNJ02
CNJ02_1_99	CQxMQ	CNJ02_1_99:250382189	CNJ02
CNJ04_2_1	STxMQ	CNJ04_2_1:250382311	CNJ04
CNJ04_2_10	STxMQ	CNJ04_2_10:250382320	CNJ04
CNJ04_2_11	MQxST	CNJ04_2_11:250382248	CNJ04
CNJ04_2_12	STxMQ	CNJ04_2_12:250382321	CNJ04
CNJ04_2_13	STxMQ	CNJ04_2_13:250382322	CNJ04
CNJ04_2_14	STxMQ	CNJ04_2_14:250382323	CNJ04
CNJ04_2_15	STxMQ	CNJ04_2_15:250382324	CNJ04
CNJ04_2_16	MQxST	CNJ04_2_16:250382249	CNJ04
CNJ04_2_17	STxMQ	CNJ04_2_17:250382325	CNJ04
CNJ04_2_18	MQxST	CNJ04_2_18:250382250	CNJ04
CNJ04_2_19	STxMQ	CNJ04_2_19:250382326	CNJ04
CNJ04_2_2	STxMQ	CNJ04_2_2:250382312	CNJ04
CNJ04_2_20	STxMQ	CNJ04_2_20:250382327	CNJ04
CNJ04_2_21	STxMQ	CNJ04_2_21:250382328	CNJ04
CNJ04_2_22	STxMQ	CNJ04_2_22:250382329	CNJ04
CNJ04_2_23	STxMQ	CNJ04_2_23:250382330	CNJ04
CNJ04_2_24	STxMQ	CNJ04_2_24:250382331	CNJ04
CNJ04_2_25	STxMQ	CNJ04_2_25:250382332	CNJ04
CNJ04_2_26	STxMQ	CNJ04_2_26:250382333	CNJ04
CNJ04_2_27	STxMQ	CNJ04_2_27:250382334	CNJ04
CNJ04_2_28	STxMQ	CNJ04_2_28:250382335	CNJ04
CNJ04_2_29	STxMQ	CNJ04_2_29:250382336	CNJ04
CNJ04_2_3	STxMQ	CNJ04_2_3:250382313	CNJ04
CNJ04_2_30	STxMQ	CNJ04_2_30:250382337	CNJ04
CNJ04_2_31	STxMQ	CNJ04_2_31:250382338	CNJ04
CNJ04_2_32	STxMQ	CNJ04_2_32:250382339	CNJ04
CNJ04_2_33	STxMQ	CNJ04_2_33:250382340	CNJ04
CNJ04_2_34	STxMQ	CNJ04_2_34:250382341	CNJ04
CNJ04_2_35	STxMQ	CNJ04_2_35:250382342	CNJ04
CNJ04_2_36	STxMQ	CNJ04_2_36:250382343	CNJ04
CNJ04_2_4	STxMQ	CNJ04_2_4:250382314	CNJ04
CNJ04_2_5	STxMQ	CNJ04_2_5:250382315	CNJ04
CNJ04_2_6	STxMQ	CNJ04_2_6:250382316	CNJ04
CNJ04_2_7	STxMQ	CNJ04_2_7:250382317	CNJ04
CNJ04_2_8	STxMQ	CNJ04_2_8:250382318	CNJ04
CNJ04_2_9	STxMQ	CNJ04_2_9:250382319	CNJ04
CNJ04_21_1	STxMQ	CNJ04_21_1:250382351	CNJ04
CNJ04_21_10	STxMQ	CNJ04_21_10:250382360	CNJ04
CNJ04_21_11	STxMQ	CNJ04_21_11:250382361	CNJ04
CNJ04_21_12	STxMQ	CNJ04_21_12:250382362	CNJ04
CNJ04_21_13	STxMQ	CNJ04_21_13:250382363	CNJ04
CNJ04_21_14	STxMQ	CNJ04_21_14:250382364	CNJ04
CNJ04_21_15	STxMQ	CNJ04_21_15:250382365	CNJ04
CNJ04_21_16	STxMQ	CNJ04_21_16:250382366	CNJ04
CNJ04_21_17	STxMQ	CNJ04_21_17:250382367	CNJ04
CNJ04_21_18	STxMQ	CNJ04_21_18:250382368	CNJ04
CNJ04_21_19	STxMQ	CNJ04_21_19:250382369	CNJ04
CNJ04_21_2	STxMQ	CNJ04_21_2:250382352	CNJ04
CNJ04_21_20	STxMQ	CNJ04_21_20:250382370	CNJ04
CNJ04_21_21	STxMQ	CNJ04_21_21:250382371	CNJ04
CNJ04_21_22	STxMQ	CNJ04_21_22:250382372	CNJ04
CNJ04_21_23	STxMQ	CNJ04_21_23:250382373	CNJ04
CNJ04_21_24	STxMQ	CNJ04_21_24:250382374	CNJ04
CNJ04_21_25	STxMQ	CNJ04_21_25:250382375	CNJ04
CNJ04_21_26	STxMQ	CNJ04_21_26:250382376	CNJ04
CNJ04_21_27	STxMQ	CNJ04_21_27:250382377	CNJ04
CNJ04_21_28	STxMQ	CNJ04_21_28:250382378	CNJ04
CNJ04_21_29	STxMQ	CNJ04_21_29:250382379	CNJ04
CNJ04_21_3	STxMQ	CNJ04_21_3:250382353	CNJ04
CNJ04_21_30	STxMQ	CNJ04_21_30:250382380	CNJ04
CNJ04_21_31	STxMQ	CNJ04_21_31:250382381	CNJ04
CNJ04_21_32	STxMQ	CNJ04_21_32:250382382	CNJ04
CNJ04_21_33	STxMQ	CNJ04_21_33:250382383	CNJ04
CNJ04_21_34	STxMQ	CNJ04_21_34:250382384	CNJ04
CNJ04_21_35	STxMQ	CNJ04_21_35:250382385	CNJ04
CNJ04_21_36	STxMQ	CNJ04_21_36:250382386	CNJ04
CNJ04_21_4	STxMQ	CNJ04_21_4:250382354	CNJ04
CNJ04_21_5	STxMQ	CNJ04_21_5:250382355	CNJ04
CNJ04_21_6	STxMQ	CNJ04_21_6:250382356	CNJ04
CNJ04_21_7	STxMQ	CNJ04_21_7:250382357	CNJ04
CNJ04_21_8	STxMQ	CNJ04_21_8:250382358	CNJ04
CNJ04_21_9	STxMQ	CNJ04_21_9:250382359	CNJ04
P10	BG95xGH1	P10:250353358	GRYG
P100	BG95xGH1	P100:250353435	GRYG
P103	BG95xGH1	P103:250353436	GRYG
P104	BG95xGH1	P104:250353437	GRYG
P106	BG95xGH1	P106:250353438	GRYG
P107	BG95xGH1	P107:250353440	GRYG
P108	BG95xGH1	P108:250353441	GRYG
P109	BG95xGH1	P109:250353442	GRYG
P110	BG95xGH1	P110:250353443	GRYG
P111	BG95xGH1	P111:250353444	GRYG
P112	BG95xGH1	P112:250353445	GRYG
P113	BG95xGH1	P113:250353446	GRYG
